BuildingType,PrimaryPropertyType,Neighborhood,NumberofBuildings,NumberofFloors,PropertyGFATotal,ENERGYSTARScore,SiteEnergyUse(kBtu),TotalGHGEmissions,BuildingAge_rescaled,GFABuildingNormalised,GFAParkingNormalised,GFAPerBuilding,GFAPerFloor,Electricity_ratio,Natural_gas_ratio,SteamUse_ratio
NonResidential,Other,GREATER DUWAMISH,1.0,6.0,1585960.0,,59757440.0,892.63,10,0.79339,0.20661,1585960.0,264326.667,0.82734,0.17266,0.0
Nonresidential COS,Distribution Center,GREATER DUWAMISH,1.0,2.0,179161.0,,9436408.0,96.43,85,1.0,0.0,179161.0,89580.5,0.9296,0.0704,0.0
Nonresidential COS,Warehouse,GREATER DUWAMISH,1.0,2.0,58640.0,,3928695.25,27.39,45,1.0,0.0,58640.0,29320.0,1.0,0.0,0.0
NonResidential,Other,GREATER DUWAMISH,1.0,3.0,1172127.0,,58761304.0,1246.55,10,1.0,0.0,1172127.0,390709.0,0.69131,0.30869,0.0
NonResidential,Hotel,GREATER DUWAMISH,1.0,9.0,168449.0,64.0,12726789.0,388.37,5,0.91352,0.08648,168449.0,18716.556,0.48969,0.51031,0.0
NonResidential,Warehouse,GREATER DUWAMISH,0.0,4.0,79600.0,34.0,2411402.25,16.81,95,1.0,0.0,46261.5,19900.0,1.0,0.0,0.0
Campus,Large Office,GREATER DUWAMISH,14.0,2.0,334368.0,,53466684.0,748.55,30,0.90467,0.09533,23883.429,167184.0,0.84766,0.15234,0.0
NonResidential,Other,NORTH,1.0,6.0,419848.0,,9134963.0,162.41,0,0.20183,0.79817,419848.0,69974.667,0.76577,0.23423,0.0
NonResidential,Mixed Use Property,MAGNOLIA / QUEEN ANNE,1.0,4.0,110785.0,,10557910.0,92.91,5,1.0,0.0,110785.0,27696.25,0.96038,0.03962,0.0
NonResidential,Hotel,DOWNTOWN,1.0,0.0,934292.0,,65047284.0,1638.46,10,1.0,0.0,934292.0,22178.9285,0.60516,0.39484,0.0
NonResidential,Hospital,CENTRAL,6.0,5.0,597519.0,34.0,143423024.0,4906.33,20,1.0,0.0,99586.5,119503.8,0.40966,0.59034,0.0
NonResidential,Warehouse,LAKE UNION,1.0,3.0,75397.0,91.0,549181.375,9.63,20,0.89176,0.10824,75397.0,25132.333,0.77093,0.22907,0.0
NonResidential,Hospital,EAST,9.0,8.0,1158691.0,29.0,293090784.0,10734.57,10,1.0,0.0,128743.444,144836.375,0.57553,0.00625,0.41822
NonResidential,Senior Care Community,DOWNTOWN,1.0,5.0,102796.0,,10105379.0,193.94,10,0.87732,0.12268,102796.0,20559.2,0.73513,0.26486,0.0
NonResidential,K-12 School,NORTHEAST,1.0,2.0,55653.0,98.0,1377627.0,72.88,80,1.0,0.0,55653.0,27826.5,0.00446,0.99554,0.0
NonResidential,Hotel,NORTHEAST,1.0,16.0,106860.0,49.0,11935719.0,469.57,80,1.0,0.0,106860.0,6678.75,0.29841,0.70159,0.0
NonResidential,Small- and Mid-Sized Office,NORTH,1.0,5.0,50759.0,62.0,3147042.0,49.09,35,1.0,0.0,50759.0,10151.8,0.813,0.187,0.0
NonResidential,Worship Facility,NORTHEAST,1.0,2.0,56772.0,46.0,2439484.75,84.57,55,1.0,0.0,56772.0,28386.0,0.39972,0.60028,0.0
NonResidential,Worship Facility,NORTHEAST,1.0,3.0,103000.0,42.0,4854429.5,149.93,55,1.0,0.0,103000.0,34333.333,0.48171,0.51829,0.0
NonResidential,Other,DOWNTOWN,1.0,7.0,128766.0,,6057410.0,57.21,95,1.0,0.0,128766.0,18395.143,0.94639,0.05361,0.0
